parentCatName,storeLogoUrl,storeTitle,storeFriendlyName,storeContent,ranking,storeUrl,metaKeywords,metaDiscriptions,,featuredAtHome,storeAvgValue,rating
Health,ZAActiveStorage_VS/wevibe.webp,Wevibe,wevibe,,10,https://afflat3a1.com/lnk.asp?o=20430&c=918277&a=562402&k=0&l=21491,"wevibe, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Wevibe Promo Codes, Discounts & Deals,  October 2021",,TRUE,1.1,4.1
more,ZAActiveStorage_VS/fernsnpetals.webp,Ferns N Petals,fnp,,10,https://ad.admitad.com/g/ccc4bwskugef24eb5d449889a1a15e/?i=3,"fnp, Ferns N Petals, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Ferns N Petals Promo Codes, Discounts & Deals,  October 2021",,TRUE,2.1,4.1
foodanddrink,ZAActiveStorage_VS/freshly.webp,Freshly,freshly,,10,https://track.flexlinkspro.com/g.ashx?foid=156074.4458.984529&trid=1241732.195731&foc=16&fot=9999&fos=5,"Freshly, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Freshly Promo Codes, Discounts & Deals,  October 2021",,TRUE,3.2,4.1
more,ZAActiveStorage_VS/petplan.webp,PetPlan,petplan,,10,https://afflat3a1.com/lnk.asp?o=16488&c=918273&a=562402&k=E396012FD522E30BECE8F87DEB135DCF&l=17670,"PetPlan, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All PetPlan Promo Codes, Discounts & Deals,  October 2021",,TRUE,4.2,4.1
health,ZAActiveStorage_VS/nectar.webp,Nectar UK,nectaruk,,10,https://afflat3c1.com/lnk.asp?o=17156&c=918277&a=562402&k=0&l=18355,"Nectar UK, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Nectar UK Promo Codes, Discounts & Deals,  October 2021",,TRUE,5.25,4.1
more,ZAActiveStorage_VS/petplan.webp,PetPlan CA,petplanca,,10,https://afflat3a1.com/lnk.asp?o=21281&c=918273&a=562402&k=4DDBCF528B1E4EE503749D0CFE2F00F4&l=22218,"PetPlan CA, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All PetPlan CA Promo Codes, Discounts & Deals,  October 2021",,TRUE,6.29,4.1
more,ZAActiveStorage_VS/efile.webp,E-File,efile,,10,https://afflat3a1.com/lnk.asp?o=21143&c=918277&a=562402&k=BF8D9EC0EABB411264C5FFCD27D4E347&l=22078,"E-File, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All E-File Promo Codes, Discounts & Deals,  October 2021",,TRUE,7.33,4.1
fashion,ZAActiveStorage_VS/hellomolly.webp,Hello Molly,hellomolly,,10,https://track.flexlinkspro.com/g.ashx?foid=156178.15359.413341&trid=1241732.202200&foc=16&fot=9999&fos=5,"Hello Molly, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Hello Molly Promo Codes, Discounts & Deals,  October 2021",,TRUE,8.37,4.1
health,ZAActiveStorage_VS/nectar.webp,Nectar Sleep,nectar,,10,https://track.flexlinkspro.com/g.ashx?foid=156074.8338.490251&trid=1241732.201228&foc=16&fot=9999&fos=5,"Nectar Sleep, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Nectar Sleep Promo Codes, Discounts & Deals,  October 2021",,TRUE,9.41,4.1
Ecommerce,ZAActiveStorage_VS/aliexpress.webp,AliExpress,aliexpress,,10,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,"AliExpress, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All AliExpress Promo Codes, Discounts & Deals,  October 2021",,TRUE,10.45,4.1
more,ZAActiveStorage_VS/brownells.webp,Brownells,brownells,,10,https://afflat3c1.com/lnk.asp?o=19440&c=918277&a=562402&k=0&l=20419,"Brownells, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Brownells Promo Codes, Discounts & Deals,  October 2021",,TRUE,11.49,4.1
Ecommerce,ZAActiveStorage_VS/dunelm.webp,Dunelm,dunelm,,10,https://www.awin1.com/cread.php?awinmid=3769&awinaffid=847033,"Dunelm, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Dunelm Promo Codes, Discounts & Deals,  October 2021",,TRUE,12.53,4.5
electronics,ZAActiveStorage_VS/casetify.webp,Casetify,casetify,,10,https://casetify.hyyc7q.net/DVyOQy,"Casetify, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Casetify Promo Codes, Discounts & Deals,  October 2021",,TRUE,13.57,4.5
fashion,ZAActiveStorage_VS/marksandspencer.webp,Marks and Spencer,m&s,,10,https://www.awin1.com/cread.php?awinmid=23362&awinaffid=847033,"Marks and Spencer, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Marks and Spencer Promo Codes, Discounts & Deals,  October 2021",,TRUE,14.61,4.5
education,ZAActiveStorage_VS/edx.webp,edX,edx,,10,https://www.awin1.com/cread.php?awinmid=6798&awinaffid=847033,"edX, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All edX Promo Codes, Discounts & Deals,  October 2021",,TRUE,15.65,4.5
more,ZAActiveStorage_VS/ellevet.webp,Ellevet ,ellevet,,10,https://afflat3a1.com/lnk.asp?o=19115&c=918277&a=562402&k=0&l=20196,"Ellevet, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Ellevet  Promo Codes, Discounts & Deals,  October 2021",,TRUE,16.69,4.5
travel,ZAActiveStorage_VS/agoda.webp,Agoda,agoda,,10,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1892546&hl=en-us,"Agoda, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Agoda Promo Codes, Discounts & Deals,  October 2021",,TRUE,17.73,4.5
more,ZAActiveStorage_VS/chewy.webp,Chewy,chewy,,10,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.chewy.com%2F,"Chewy, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Chewy Promo Codes, Discounts & Deals,  October 2021",,TRUE,18.77,4.5
more,ZAActiveStorage_VS/tumi.webp,TUMI,tumi,,10,https://track.flexlinkspro.com/g.ashx?foid=1.42396.2000000506&trid=1241732.192534&foc=16&fot=9999&fos=5,"TUMI, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All TUMI Promo Codes, Discounts & Deals,  October 2021",,TRUE,19.81,4.5
music,ZAActiveStorage_VS/guitarcenter.webp,Guitar Center,guitarcenter,,10,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.guitarcenter.com%2F,"Guitar Center, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Guitar Center Promo Codes, Discounts & Deals,  October 2021",,TRUE,20.85,4.5
electronics,ZAActiveStorage_VS/acmetools.webp,Acme Tools,acmetools,,10,https://track.flexlinkspro.com/g.ashx?foid=156074.11565.818846&trid=1241732.215321&foc=16&fot=9999&fos=5,"Acme Tools, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Acme Tools Promo Codes, Discounts & Deals,  October 2021",,TRUE,21.89,4.5
fashion,ZAActiveStorage_VS/mackweldon.webp,Mack Weldon,mackweldon,,10,https://www.linkbux.com/track/e312XAJs6jXydsReJC7RFrnIWlDaunZCloZ2WL0sCXjOyLeyTwIHinMXBUmusp1ToRljNg_c_c?url=https%3A%2F%2Fmackweldon.com%2F,"Mack Weldon, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Mack Weldon Promo Codes, Discounts & Deals,  October 2021",,TRUE,22.93,3.9
webservices,ZAActiveStorage_VS/parallelsdesktop.webp,Parallels Desktop,parallelsdesktop,,10,https://parallels.sjv.io/NKzd5b,"Parallels Desktop, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Parallels Desktop Promo Codes, Discounts & Deals,  October 2021",,TRUE,23.97,3.9
webservices,ZAActiveStorage_VS/bitdefender.webp,BitDefender,bitdefender,,10,https://track.flexlinkspro.com/g.ashx?foid=156157.53217.4611686018427524051&trid=1241732.178627&foc=16&fot=9999&fos=5,"BitDefender, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All BitDefender Promo Codes, Discounts & Deals,  October 2021",,TRUE,25.01,3.9
webservices,ZAActiveStorage_VS/surfshark.webp,Surfshark,surfshark,,10,https://surfshark.sjv.io/KeJRry,"Surfshark, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Surfshark Promo Codes, Discounts & Deals,  October 2021",,TRUE,26.05,3.9
webservices,ZAActiveStorage_VS/datacamp.webp,DataCamp,datacamp,,10,https://datacamp.pxf.io/e4qoDX,"DataCamp, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All DataCamp Promo Codes, Discounts & Deals,  October 2021",,TRUE,27.09,3.9
finance,ZAActiveStorage_VS/turbotax.webp,Turbotax,turbotax,,10,https://www.kqzyfj.com/click-100445317-13906760,"Turbotax, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Turbotax Promo Codes, Discounts & Deals,  October 2021",,TRUE,28.13,3.9
travel,ZAActiveStorage_VS/vrbo.webp,VRBO,vrbo,,10,https://vrbo.prf.hn/l/6WLw2ed,"VRBO, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All VRBO Promo Codes, Discounts & Deals,  October 2021",,TRUE,29.17,3.9
Ecommerce,ZAActiveStorage_VS/sportsdirect.webp,Sports Direct,sportsdirect,,10,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.sportsdirect.com%2F,"Sports Direct, coupon, promo, cupon, discount, voucher, code, promotion, sale, deals, offers, October 2021","All Sports Direct Promo Codes, Discounts & Deals,  October 2021",,TRUE,30.21,3.9